Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,28.000000,28.590000,27.580000,28.490000,28.490000,669400
2019-01-03,28.209999,28.870001,27.799999,28.320000,28.320000,702600
2019-01-04,28.790001,29.990000,28.660000,29.879999,29.879999,1414900
2019-01-07,29.840000,30.910000,29.690001,30.580000,30.580000,1291700
2019-01-08,31.000000,31.600000,30.719999,31.260000,31.260000,1727800
2019-01-09,31.559999,32.540001,31.530001,32.470001,32.470001,2029600
2019-01-10,32.349998,33.250000,31.700001,32.520000,32.520000,1837200
2019-01-11,32.439999,32.439999,32.000000,32.360001,32.360001,812200
2019-01-14,32.099998,32.259998,31.559999,31.969999,31.969999,779100
2019-01-15,32.310001,32.779999,32.169998,32.709999,32.709999,1273700
2019-01-16,32.869999,33.450001,32.820000,33.000000,33.000000,1227200
2019-01-17,32.759998,33.540001,32.650002,33.380001,33.380001,1345300
2019-01-18,33.580002,34.090000,33.259998,33.900002,33.900002,1614600
2019-01-22,33.959999,34.000000,32.990002,33.330002,33.330002,1792200
2019-01-23,33.360001,34.080002,33.080002,33.779999,33.779999,2888200
2019-01-24,33.730000,34.680000,33.549999,34.080002,34.080002,810300
2019-01-25,34.509998,34.790001,34.240002,34.639999,34.639999,1274800
2019-01-28,34.090000,34.740002,33.860001,34.380001,34.380001,1358500
2019-01-29,34.360001,34.669998,34.080002,34.459999,34.459999,827700
2019-01-30,34.820000,35.000000,34.279999,34.660000,34.660000,875000
2019-01-31,34.810001,35.590000,34.799999,35.220001,35.220001,1124200
2019-02-01,35.099998,35.619999,35.020000,35.400002,35.400002,1448500
2019-02-04,35.360001,36.009998,35.020000,35.750000,35.750000,1266100
2019-02-05,35.810001,36.049999,35.360001,35.840000,35.840000,1105400
2019-02-06,35.860001,36.000000,35.290001,35.650002,35.650002,1207000
2019-02-07,35.299999,35.500000,34.869999,35.209999,35.209999,1422600
2019-02-08,34.080002,34.599998,33.250000,34.400002,34.400002,2835800
2019-02-11,34.529999,35.470001,34.189999,34.799999,34.799999,3879000
2019-02-12,38.410000,38.759998,36.150002,37.459999,37.459999,8354100
2019-02-13,37.970001,38.009998,36.939999,37.480000,37.480000,2054800
2019-02-14,37.259998,37.599998,36.840000,37.349998,37.349998,1283600
2019-02-15,37.549999,37.790001,37.060001,37.759998,37.759998,1814200
2019-02-19,37.759998,38.570000,37.759998,37.959999,37.959999,1865400
2019-02-20,38.000000,38.150002,37.150002,37.480000,37.480000,1216400
2019-02-21,37.470001,38.349998,37.320000,38.330002,38.330002,1244900
2019-02-22,38.500000,39.160000,38.340000,39.130001,39.130001,1426100
2019-02-25,39.369999,39.759998,39.040001,39.500000,39.500000,1470700
2019-02-26,39.279999,39.279999,38.459999,38.939999,38.939999,948900
2019-02-27,38.750000,39.459999,38.470001,39.450001,39.450001,969800
2019-02-28,39.380001,40.000000,39.139999,39.630001,39.630001,2668300
2019-03-01,39.849998,40.549999,39.810001,40.419998,40.419998,1825800
2019-03-04,40.400002,40.410000,38.139999,39.240002,39.240002,1882900
2019-03-05,39.439999,39.669998,38.750000,39.480000,39.480000,1250600
2019-03-06,39.779999,39.790001,39.020000,39.599998,39.599998,1029000
2019-03-07,39.639999,39.770000,39.080002,39.290001,39.290001,866600
2019-03-08,38.849998,39.730000,38.500000,39.459999,39.459999,1125900
2019-03-11,39.540001,40.200001,39.349998,40.160000,40.160000,1454300
2019-03-12,40.200001,40.619999,39.689999,40.270000,40.270000,1369500
2019-03-13,40.299999,40.950001,40.099998,40.700001,40.700001,999400
2019-03-14,40.700001,41.340000,40.599998,41.230000,41.230000,1425900
2019-03-15,41.660000,41.660000,40.889999,41.090000,41.090000,1366700
2019-03-18,41.070000,41.500000,40.650002,41.220001,41.220001,891700
2019-03-19,41.119999,41.689999,40.930000,41.500000,41.500000,841900
2019-03-20,41.389999,41.490002,40.720001,40.930000,40.930000,1212500
2019-03-21,40.400002,40.869999,39.500000,39.660000,39.660000,6510600
2019-03-22,39.070000,39.560001,36.639999,36.759998,36.759998,14251900
2019-03-25,36.590000,37.650002,36.070000,37.290001,37.290001,3705400
2019-03-26,37.650002,38.470001,37.630001,38.310001,38.310001,2528900
2019-03-27,38.169998,38.290001,36.189999,37.040001,37.040001,5748000
2019-03-28,37.150002,37.959999,36.939999,37.740002,37.740002,1747000
2019-03-29,38.090000,38.549999,37.820000,38.119999,38.119999,4444800
2019-04-01,38.070000,38.070000,37.080002,37.750000,37.750000,2055400
2019-04-02,37.919998,38.400002,37.490002,38.279999,38.279999,1374800
2019-04-03,38.450001,39.119999,38.119999,38.869999,38.869999,2118100
2019-04-04,38.860001,38.970001,36.880001,37.380001,37.380001,2513300
2019-04-05,37.549999,37.799999,36.840000,37.020000,37.020000,1544200
2019-04-08,37.119999,37.529999,36.810001,37.259998,37.259998,1019900
2019-04-09,37.220001,37.689999,36.880001,36.980000,36.980000,1415600
2019-04-10,36.910000,37.320000,36.779999,37.279999,37.279999,1575500
2019-04-11,37.509998,37.820000,37.340000,37.610001,37.610001,1286900
2019-04-12,37.639999,37.849998,37.060001,37.320000,37.320000,839200
2019-04-15,37.430000,38.419998,37.369999,38.230000,38.230000,1582800
2019-04-16,38.070000,39.020000,37.970001,38.189999,38.189999,1837400
2019-04-17,38.189999,38.389999,37.299999,37.639999,37.639999,2101000
2019-04-18,37.610001,37.880001,36.919998,37.799999,37.799999,945400
2019-04-22,37.590000,38.349998,37.099998,38.130001,38.130001,1164700
2019-04-23,38.189999,38.959999,38.049999,38.900002,38.900002,1242300
2019-04-24,39.000000,39.139999,38.709999,38.980000,38.980000,1411800
2019-04-25,38.830002,39.230000,38.500000,39.150002,39.150002,1515300
2019-04-26,39.209999,40.299999,38.869999,40.080002,40.080002,2660400
2019-04-29,40.259998,40.270000,39.169998,39.709999,39.709999,3237600
2019-04-30,38.099998,39.470001,35.650002,35.650002,35.650002,6432800
2019-05-01,35.869999,36.139999,34.700001,34.740002,34.740002,5013800
2019-05-02,34.880001,35.919998,34.529999,35.869999,35.869999,2826300
2019-05-03,36.160000,37.950001,35.860001,37.320000,37.320000,3505900
2019-05-06,36.060001,37.230000,35.700001,37.110001,37.110001,1616100
2019-05-07,36.830002,37.450001,36.029999,36.459999,36.459999,1779900
2019-05-08,36.240002,36.619999,35.709999,36.349998,36.349998,763500
2019-05-09,36.029999,36.500000,35.480000,36.279999,36.279999,992600
2019-05-10,36.200001,36.820000,35.520000,36.700001,36.700001,1630900
2019-05-13,35.820000,36.250000,34.860001,34.910000,34.910000,1554100
2019-05-14,35.060001,36.110001,35.060001,35.770000,35.770000,1362100
2019-05-15,35.360001,36.709999,35.360001,36.450001,36.450001,1043300
2019-05-16,36.520000,37.599998,36.520000,37.220001,37.220001,2222200
2019-05-17,36.820000,37.849998,36.680000,37.450001,37.450001,1569500
2019-05-20,36.830002,36.930000,36.209999,36.820000,36.820000,1129300
2019-05-21,37.139999,38.040001,36.939999,37.340000,37.340000,1459500
2019-05-22,37.209999,37.470001,36.820000,37.240002,37.240002,821500
2019-05-23,36.820000,36.990002,35.490002,36.049999,36.049999,1375700
2019-05-24,36.529999,37.060001,36.340000,36.740002,36.740002,757000
2019-05-28,36.619999,37.209999,36.450001,36.880001,36.880001,1907400
2019-05-29,36.680000,36.709999,35.790001,36.099998,36.099998,1444900
2019-05-30,36.139999,37.849998,36.139999,37.849998,37.849998,1419900
2019-05-31,37.299999,37.799999,36.930000,37.459999,37.459999,1100300
2019-06-03,37.349998,37.349998,35.520000,35.950001,35.950001,1294400
2019-06-04,36.259998,36.980000,36.000000,36.970001,36.970001,1886200
2019-06-05,37.099998,37.599998,36.669998,37.580002,37.580002,1494300
2019-06-06,38.000000,39.720001,37.599998,39.599998,39.599998,1822500
2019-06-07,39.830002,39.980000,39.009998,39.380001,39.380001,1194700
2019-06-10,39.830002,40.160000,39.020000,39.099998,39.099998,1110300
2019-06-11,39.200001,39.630001,37.820000,38.509998,38.509998,1430800
2019-06-12,38.400002,39.060001,38.139999,38.849998,38.849998,735900
2019-06-13,38.980000,39.490002,38.730000,38.840000,38.840000,722400
2019-06-14,38.650002,39.220001,38.490002,38.990002,38.990002,702800
2019-06-17,39.090000,39.980000,39.070000,39.560001,39.560001,847400
2019-06-18,39.919998,40.560001,39.549999,39.610001,39.610001,1062200
2019-06-19,39.709999,39.919998,38.970001,39.900002,39.900002,1352500
2019-06-20,40.349998,40.639999,39.419998,39.950001,39.950001,1248200
2019-06-21,39.740002,39.950001,39.180000,39.299999,39.299999,801300
2019-06-24,39.330002,39.650002,38.380001,38.509998,38.509998,782800
2019-06-25,38.520000,38.770000,36.540001,36.590000,36.590000,1564000
2019-06-26,36.740002,37.450001,36.540001,36.900002,36.900002,830000
2019-06-27,37.009998,38.310001,37.009998,38.200001,38.200001,1299600
2019-06-28,38.209999,38.880001,38.180000,38.590000,38.590000,2681600
2019-07-01,39.430000,39.849998,39.070000,39.400002,39.400002,1667500
